experiment,game,method,seed,budget,best_welfare,payoff_dominant_found
restart_selection,stag_hunt,standard_pg,32,7,7.77362205338171,1
restart_selection,stag_hunt,standard_pg,32,8,7.77362205338171,1
restart_selection,stag_hunt,standard_pg,32,9,7.77362205338171,1
restart_selection,stag_hunt,standard_pg,32,10,7.77362205338171,1
restart_selection,stag_hunt,standard_pg,32,11,7.77362205338171,1
restart_selection,stag_hunt,standard_pg,32,12,7.77362205338171,1
restart_selection,stag_hunt,standard_pg,33,1,3.9752005574502522,0
restart_selection,stag_hunt,standard_pg,33,2,3.9752005574502522,0
restart_selection,stag_hunt,standard_pg,33,3,3.9752005574502522,0
restart_selection,stag_hunt,standard_pg,33,4,3.9752005574502522,0
restart_selection,stag_hunt,standard_pg,33,5,7.746495670310354,1
restart_selection,stag_hunt,standard_pg,33,6,7.746495670310354,1
restart_selection,stag_hunt,standard_pg,33,7,7.746495670310354,1
restart_selection,stag_hunt,standard_pg,33,8,7.746495670310354,1
restart_selection,stag_hunt,standard_pg,33,9,7.746495670310354,1
restart_selection,stag_hunt,standard_pg,33,10,7.746495670310354,1
restart_selection,stag_hunt,standard_pg,33,11,7.746495670310354,1
restart_selection,stag_hunt,standard_pg,33,12,7.746495670310354,1
restart_selection,stag_hunt,standard_pg,34,1,7.761670478257139,1
restart_selection,stag_hunt,standard_pg,34,2,7.805867450187915,1
restart_selection,stag_hunt,standard_pg,34,3,7.805867450187915,1
restart_selection,stag_hunt,standard_pg,34,4,7.805867450187915,1
restart_selection,stag_hunt,standard_pg,34,5,7.805867450187915,1
restart_selection,stag_hunt,standard_pg,34,6,7.805867450187915,1
restart_selection,stag_hunt,standard_pg,34,7,7.805867450187915,1
restart_selection,stag_hunt,standard_pg,34,8,7.805867450187915,1
restart_selection,stag_hunt,standard_pg,34,9,7.805867450187915,1
