persona_id,env_name,noise_pair,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
ipd:defective:1,ipd,"0.2,0.2",1,standard,standard,standard,26.282884146229563,28.10991449024302,36.14084713774703,32.25567684448802,,0.6196870787079634,0.6693796476727245,1.0,1.0
ipd:defective:1,ipd,"0.2,0.2",1,ew,ew,standard,26.516835502752908,27.786751033128574,36.54729310663066,32.01624542139865,,0.5591484543442286,0.6255985510306943,1.0,1.0
ipd:defective:1,ipd,"0.2,0.2",1,lola,lola,standard,26.77568970236872,28.49030304124692,37.60732038398503,29.937120082940346,,0.5750373919288002,0.6873842224711829,1.0,1.0
ipd:defective:1,ipd,"0.2,0.2",1,ew_lola,ew_lola,standard,26.602441871704986,29.453091645283614,37.779536511177525,31.021205997812576,,0.6591550802779634,0.6668142535783,1.0,1.0
ipd:defective:1,ipd,"0.5,0.2",0,standard,standard,standard,26.459580245833745,27.65484494596142,36.12028725497438,32.912301338384296,,1.5318091560050535,0.6800303023241207,1.0,1.0
ipd:defective:1,ipd,"0.5,0.2",0,ew,ew,standard,22.464727263841887,44.245928350581856,31.688602974128663,51.38386068127096,,1.4858228072352093,0.622007463481049,0.16000000000000003,1.0
ipd:defective:1,ipd,"0.5,0.2",0,lola,lola,standard,26.957588731007633,28.088533574598667,38.813509482273034,29.51360906952859,,1.4715836574196346,0.6745313209895147,1.0,1.0
ipd:defective:1,ipd,"0.5,0.2",0,ew_lola,ew_lola,standard,24.091873825058247,41.43252398015929,33.68609796249713,48.28663003676885,,1.5621935740918835,0.6224275844260837,0.16000000000000003,1.0
ipd:defective:1,ipd,"0.5,0.2",1,standard,standard,standard,26.073481061344232,28.809925388216843,36.36236064194513,32.26502052477062,,1.5492176967699085,0.6693796476727245,1.0,1.0
ipd:defective:1,ipd,"0.5,0.2",1,ew,ew,standard,22.810609331444137,43.48697989656206,32.072402314083526,51.24112444745716,,1.3978711358605709,0.6255985510306943,0.16000000000000003,1.0
ipd:defective:1,ipd,"0.5,0.2",1,lola,lola,standard,26.82647453013367,28.326301437744934,37.86240184641592,29.520475947415783,,1.4375934798220005,0.6873842224711829,1.0,1.0
ipd:defective:1,ipd,"0.5,0.2",1,ew_lola,ew_lola,standard,23.374001131867058,42.9078179385062,32.78588368850779,49.50243771271091,,1.6478877006949084,0.6668142535783,0.16000000000000003,1.0
