persona_id,env_name,noise_pair,seed,step,method,method_p1,method_p2,reward_p1,reward_p2,lambda_step,distance_to_nash,avg_grad_norm_p1,avg_grad_norm_p2,avg_noise_norm_p1,avg_noise_norm_p2
ipd:cooperative:0,ipd,"0.5,0.2",0,0,standard,standard,standard,34.911140318522335,50.992365107545204,0.14953487812212204,,5.227969964903924,5.360245927559611,0.9659368261289192,0.8231357130921565
ipd:cooperative:0,ipd,"0.5,0.2",0,1,standard,standard,standard,31.770799130136865,40.78341651666918,0.13042371500610728,,4.854188722880943,4.175149691654402,1.2733980776344649,0.7799373446659252
ipd:cooperative:0,ipd,"0.5,0.2",0,2,standard,standard,standard,31.09640483881809,35.82486853830581,0.11618404012127041,,4.2082523662767946,3.1066713594860924,1.498078303878611,0.732282440717105
ipd:cooperative:0,ipd,"0.5,0.2",0,3,standard,standard,standard,31.2740541831521,33.47618814849602,0.10511205190671433,,3.687769614326303,2.443837757278927,1.5618284822610793,0.7040812593886421
ipd:cooperative:0,ipd,"0.5,0.2",0,4,standard,standard,standard,30.84582449190757,30.69758196183127,0.09622504486493763,,3.2994405729521703,2.1129658800150173,1.4886706733590218,0.7086395705925149
ipd:cooperative:0,ipd,"0.5,0.2",0,5,standard,standard,standard,30.235031919900415,30.127139951701395,0.08891397050194613,,2.9549626243369764,1.8724880588118529,1.4394473194203776,0.6674456292339862
ipd:cooperative:0,ipd,"0.5,0.2",0,6,standard,standard,standard,29.284781738263973,29.8188941183779,0.08278001303808509,,2.686603290048737,1.7076766147292328,1.423619368180366,0.7244387502573397
ipd:cooperative:0,ipd,"0.5,0.2",0,7,standard,standard,standard,28.883702374072527,29.06493136987952,0.07755040492517497,,2.4666561835590595,1.5648287103842509,1.4809640337496393,0.7107937049847682
ipd:cooperative:0,ipd,"0.5,0.2",0,8,standard,standard,standard,28.711512512113444,28.357735667685564,0.07303188161984392,,2.276581170251257,1.4491444710384858,1.5099456144990668,0.6867766742448741
ipd:cooperative:0,ipd,"0.5,0.2",0,9,standard,standard,standard,28.464772428104368,28.261736313291742,0.0690834435809882,,2.1140721762773516,1.351440475045297,1.5318091560050535,0.6800303023241207
ipd:cooperative:0,ipd,"0.5,0.2",0,0,ew,ew,standard,31.140799899135935,64.7275525400421,0.14953487812212204,,5.227969964903924,5.360245927559611,1.8423883468438111,0.576087362466958
ipd:cooperative:0,ipd,"0.5,0.2",0,1,ew,ew,standard,24.563944270941022,64.42462869162203,0.13042371500610728,,5.2879100152557665,4.918094346448147,1.7415033108396911,0.5911556417378805
