game,noise_pair,noise_ratio,seed,method,method_p1,method_p2,final_reward_p1,final_reward_p2,mean_reward_p1,mean_reward_p2,final_distance_to_nash,avg_noise_norm_p1,avg_noise_norm_p2,weight_p1,weight_p2
rock_paper_scissors,"1,1",1.0,0,ew_lola,ew_lola,ew_lola,-0.46167914786202513,0.46167914786202513,-0.10370256574499055,0.10370256574499055,1.074155718398496,1.3402956290460506,1.7383305920350864,1.0,1.0
rock_paper_scissors,"1,1",1.0,1,standard,standard,standard,-0.1100027064817578,0.1100027064817578,0.09825394046141271,-0.09825394046141271,1.1475595132257772,1.4416377251270511,1.5121318341537782,1.0,1.0
rock_paper_scissors,"1,1",1.0,1,ew,ew,ew,0.12209467572492382,-0.12209467572492382,0.15008516949445566,-0.15008516949445566,1.1268143624231879,1.6002091484726488,1.4441668032704993,1.0,1.0
rock_paper_scissors,"1,1",1.0,1,lola,lola,lola,-0.3445965733130129,0.3445965733130129,-0.23728213643385782,0.23728213643385782,0.9234866341848843,1.6656445268197146,1.548978949642426,1.0,1.0
rock_paper_scissors,"1,1",1.0,1,ew_lola,ew_lola,ew_lola,0.39028741477878753,-0.39028741477878753,0.12391472330174516,-0.12391472330174516,1.2120509792884717,1.8299205684499966,1.5989426883801927,1.0,1.0
rock_paper_scissors,"1,1",1.0,2,standard,standard,standard,0.3080754204844898,-0.3080754204844898,0.18344799862957972,-0.18344799862957972,1.2044721815064112,1.6094982824850512,1.4194480783359498,1.0,1.0
rock_paper_scissors,"1,1",1.0,2,ew,ew,ew,-0.15315501116226016,0.15315501116226016,-0.0723957267808529,0.0723957267808529,0.6601475333234613,1.6164975834624702,1.6786710064760186,1.0,1.0
rock_paper_scissors,"1,1",1.0,2,lola,lola,lola,0.13049965401294078,-0.13049965401294078,-0.17653540662360723,0.17653540662360723,0.6508919667918,1.5757409290005848,1.7292499404729131,1.0,1.0
rock_paper_scissors,"1,1",1.0,2,ew_lola,ew_lola,ew_lola,0.11596594321016951,-0.11596594321016951,0.04203034282331889,-0.04203034282331889,0.7269995039573391,1.6484916855648997,1.4526990295447255,1.0,1.0
rock_paper_scissors,"1,1",1.0,3,standard,standard,standard,-0.24418150017235563,0.24418150017235563,-0.10025849483615065,0.10025849483615065,0.90857267343035,1.5083841806101799,1.6444430136092083,1.0,1.0
rock_paper_scissors,"1,1",1.0,3,ew,ew,ew,-0.05255008717698495,0.05255008717698495,-0.05373222572049539,0.05373222572049539,0.47868845492932965,1.377645216846336,1.5237835066616652,1.0,1.0
rock_paper_scissors,"1,1",1.0,3,lola,lola,lola,0.595021462339945,-0.595021462339945,0.13294904260497714,-0.13294904260497714,1.2319643208818163,1.5903254114846632,1.6099196032352971,1.0,1.0
rock_paper_scissors,"1,1",1.0,3,ew_lola,ew_lola,ew_lola,-0.15624934088020842,0.15624934088020842,0.016682309269370216,-0.016682309269370216,1.1873933371204077,1.4994338794655786,1.434100133138809,1.0,1.0
rock_paper_scissors,"1,1",1.0,4,standard,standard,standard,-0.09924858726623301,0.09924858726623301,-0.016384925184453808,0.016384925184453808,0.6437190205020402,1.6676399313935242,1.4247213518935022,1.0,1.0
rock_paper_scissors,"1,1",1.0,4,ew,ew,ew,-0.29779784476679994,0.29779784476679994,0.21630389962987814,-0.21630389962987814,1.0966508043824807,1.6135626546563349,1.5210305272634417,1.0,1.0
rock_paper_scissors,"1,1",1.0,4,lola,lola,lola,-0.1263472778970001,0.1263472778970001,0.002060409715006103,-0.002060409715006103,0.9435619396397342,1.5666702155185477,1.4059919260787168,1.0,1.0
rock_paper_scissors,"1,1",1.0,4,ew_lola,ew_lola,ew_lola,0.25411269772492023,-0.25411269772492023,0.04479401132373538,-0.04479401132373538,1.130314970691819,1.6103302777068689,1.4477145878937514,1.0,1.0
rock_paper_scissors,"1,1",1.0,5,standard,standard,standard,-0.017487497780988015,0.017487497780988015,0.1463070159725159,-0.1463070159725159,0.8856230401248757,1.6405417035726964,1.763835752951623,1.0,1.0
rock_paper_scissors,"1,1",1.0,5,ew,ew,ew,-0.3893605831357291,0.3893605831357291,-0.04720281763273223,0.04720281763273223,0.9848007273515295,1.729060675995927,1.419964502411188,1.0,1.0
